2445,Refer,500000
2450,Refer,500000
2452,Refer,500000
2456,Refer,500000
2460,Refer,500000
2473,Refer,500000
2477,Refer,500000
2478,Refer,500000
2479,Refer,500000
2480,Refer,500000
2481,Refer,500000
2482,Refer,500000
2483,Refer,500000
2484,Refer,500000
2485,Yes,500000
2486,Yes,500000
2487,Yes,500000
2488,Yes,500000
2489,Yes,500000
2490,Yes,500000
2500,Yes,500000
2502,Yes,500000
2505,Yes,500000
2506,Yes,500000
2508,Yes,500000
2515,Yes,500000
2516,Yes,500000
2517,Yes,500000
2518,Yes,500000
2519,Yes,500000
2522,Yes,500000
2525,Yes,500000
2526,Yes,500000
2527,Yes,500000
2528,Yes,500000
2529,Yes,500000
2530,Yes,500000
2533,Refer,500000
2534,Refer,500000
2535,Refer,500000
2536,Refer,500000
2538,Refer,500000
2539,Refer,500000
2540,Refer,500000
2541,Refer,500000
2555,Yes,500000
2556,Yes,500000
2557,Yes,500000
2558,Yes,500000
2559,Yes,500000
2560,Yes,500000
2563,Yes,500000
2564,Yes,500000
2565,Yes,500000
2566,Yes,500000
2567,Yes,500000
2568,Yes,500000
2570,Yes,500000
2571,Refer,500000
2572,Refer,500000
2573,Refer,500000
2574,Refer,500000
2575,Refer,500000
2576,Refer,500000
2577,Refer,500000
2580,Refer,500000
2600,Yes,500000
2601,Yes,500000
2602,Yes,500000
2603,Yes,500000
2604,Yes,500000
2605,Yes,500000
2606,Yes,500000
2607,Yes,500000
2609,Yes,500000
2611,Yes,500000
2612,Yes,500000
2614,Yes,500000
2615,Yes,500000
2617,Yes,500000
2618,Refer,500000
2619,Yes,500000
2620,Yes,500000
2625,Refer,500000
2640,Refer,500000
2641,Refer,500000
2650,Refer,500000
2651,Refer,500000
2678,Refer,500000
2745,Yes,500000
2747,Yes,500000
2748,Yes,500000
2749,Yes,500000
2750,Yes,500000
2752,Refer,500000
2753,Yes,500000
2754,Yes,500000
2755,Yes,500000
2756,Yes,500000
2757,Refer,500000
2758,Refer,500000
2759,Yes,500000
2760,Yes,500000
2761,Yes,500000
2762,Yes,500000
2763,Yes,500000
2765,Yes,500000
2766,Yes,500000
2767,Yes,500000
2768,Yes,500000
2769,Yes,500000
2770,Yes,500000
2773,Yes,500000
2774,Yes,500000
2775,Refer,500000
2776,Yes,500000
2777,Yes,500000
2778,Yes,500000
2779,Yes,500000
2780,Yes,500000
2782,Yes,500000
2783,Yes,500000
2784,Yes,500000
2785,Refer,500000
2795,Refer,500000
2800,Refer,500000
